"Salary","Experience"
71,26
69,19
73,22
69,17
65,13
75,25
66,35
66,16
67,16
69,16
76,26
72,16
69,25
45,4
72,17
62,12
74,23
65,17
73,26
57,7
64,17
67,36
75,28
52,5
69,25
56,7
70,32
72,30
75,35
73,21
71,18
65,14
69,35
51,8
58,11
72,20
68,17
68,34
69,26
67,33
65,36
73,22
69,19
51,8
67,20
71,22
40,1
68,18
65,17
75,28
67,17
73,30
51,8
56,10
40,3
73,18
65,17
69,33
65,13
66,14
37,1
52,6
51,8
51,6
71,19
69,36
71,16
43,3
72,25
57,12
71,21
75,27
77,29
68,23
74,27
72,23
70,14
44,3
67,15
57,12
69,25
76,25
69,28
67,19
77,31
75,27
72,16
54,9
55,7
70,16
59,9
75,29
60,12
69,15
75,22
73,18
64,17
75,23
64,16
71,33
41,2
75,34
56,10
61,13
58,12
70,22
43,2
74,20
70,21
75,22
72,35
74,34
67,13
68,17
73,29
41,2
60,14
78,31
77,25
45,3
60,13
69,21
70,18
68,33
64,14
41,4
77,25
66,18
43,4
78,27
74,32
70,32
66,17
41,4
75,30
74,24
45,3
74,28
43,3
63,12
67,16
71,20
69,31
