"TVhours","Sex","Athletes"
1,"F","NonA"
1,"F","A"
3,"F","A"
1,"F","A"
0,"F","NonA"
0,"F","NonA"
6,"F","NonA"
0,"F","NonA"
2,"F","A"
3,"F","NonA"
1,"F","A"
0,"F","NonA"
0,"F","NonA"
0,"F","A"
0,"F","A"
2,"F","A"
0,"F","A"
1,"F","A"
0.5,"F","NonA"
3,"F","NonA"
0,"F","A"
10,"F","A"
5,"F","NonA"
0,"F","A"
3,"F","NonA"
0,"F","NonA"
0,"F","A"
15,"F","A"
5,"F","A"
1,"F","A"
0.5,"F","A"
0,"F","NonA"
2,"F","A"
2,"F","NonA"
15,"F","NonA"
5,"F","NonA"
5,"F","NonA"
1,"F","NonA"
3,"F","NonA"
1,"F","NonA"
15,"F","NonA"
10,"F","A"
2.5,"F","A"
3,"F","A"
4,"M","A"
1,"M","NonA"
2,"M","A"
1,"M","A"
10,"M","A"
8,"M","NonA"
0,"M","NonA"
20,"M","A"
10,"M","NonA"
0,"M","NonA"
2,"M","A"
10,"M","A"
0,"M","NonA"
6,"M","A"
4,"M","A"
5,"M","A"
6,"M","A"
1,"M","NonA"
3,"M","NonA"
12,"M","A"
3,"M","A"
1,"M","NonA"
10,"M","A"
20,"M","A"
0,"M","A"
1,"M","NonA"
25,"M","A"
2,"M","NonA"
8,"M","A"
2,"M","NonA"
0,"M","NonA"
15,"M","A"
3,"M","NonA"
2,"M","NonA"
24,"M","A"
2,"M","NonA"
25,"M","A"
1.5,"M","NonA"
2,"M","NonA"
20,"M","A"
1,"M","NonA"
4,"M","NonA"
4,"M","NonA"
0,"M","NonA"
